name,in_sdl,funclike,header,usable,selected,stage,cause,also_contains,depends_on,unexpected,body,root_cause
SDL_ACQUIRE,yes,yes,SDL_mutex.h,no,no,resolve,attribute-argument-name,,acquire_capability,,SDL_THREAD_ANNOTATION_ATTRIBUTE__(acquire_capability(x)),attribute-argument-name
SDL_ACQUIRED_AFTER,yes,yes,SDL_mutex.h,no,no,resolve,attribute-argument-name,,acquired_after,,SDL_THREAD_ANNOTATION_ATTRIBUTE__(acquired_after(x)),attribute-argument-name
SDL_ACQUIRED_BEFORE,yes,yes,SDL_mutex.h,no,no,resolve,attribute-argument-name,,acquired_before,,SDL_THREAD_ANNOTATION_ATTRIBUTE__(acquired_before(x)),attribute-argument-name
SDL_ACQUIRE_SHARED,yes,yes,SDL_mutex.h,no,no,resolve,attribute-argument-name,,acquire_shared_capability,,SDL_THREAD_ANNOTATION_ATTRIBUTE__(acquire_shared_capability(x)),attribute-argument-name
SDL_ALIGNED,yes,yes,SDL_begin_code.h,no,no,parse,attribute,,,__attribute__,__attribute__((aligned(x))),attribute
SDL_ALLOC_SIZE,yes,yes,SDL_begin_code.h,no,no,parse,attribute,,,__attribute__,__attribute__((alloc_size(p))),attribute
SDL_ALLOC_SIZE2,yes,yes,SDL_begin_code.h,no,no,parse,attribute,,,__attribute__,"__attribute__((alloc_size(p1, p2)))",attribute
SDL_ASSERT_CAPABILITY,yes,yes,SDL_mutex.h,no,no,resolve,attribute-argument-name,,assert_capability,,SDL_THREAD_ANNOTATION_ATTRIBUTE__(assert_capability(x)),attribute-argument-name
SDL_ASSERT_SHARED_CAPABILITY,yes,yes,SDL_mutex.h,no,no,resolve,attribute-argument-name,,assert_shared_capability,,SDL_THREAD_ANNOTATION_ATTRIBUTE__(assert_shared_capability(x)),attribute-argument-name
SDL_AUDIO_BITSIZE,yes,yes,SDL_audio.h,yes,yes,bound,-,,,,((x) & SDL_AUDIO_MASK_BITSIZE),-
SDL_AUDIO_BYTESIZE,yes,yes,SDL_audio.h,yes,yes,bound,-,,,,(SDL_AUDIO_BITSIZE(x) / 8),-
SDL_AUDIO_FRAMESIZE,yes,yes,SDL_audio.h,no,no,parse,member-access-dot,,,(,(SDL_AUDIO_BYTESIZE((x).format) * (x).channels),member-access-dot
SDL_AUDIO_ISBIGENDIAN,yes,yes,SDL_audio.h,yes,yes,bound,-,,,,((x) & SDL_AUDIO_MASK_BIG_ENDIAN),-
SDL_AUDIO_ISFLOAT,yes,yes,SDL_audio.h,yes,yes,bound,-,,,,((x) & SDL_AUDIO_MASK_FLOAT),-
